frame,inference,cpu,ram
1,1.074460744857788,18.5,59.3
2,0.032289981842041016,41.9,59.3
3,0.03323507308959961,45.5,59.3
4,0.037786245346069336,59.5,59.3
5,0.03284025192260742,52.8,59.3
6,0.0354008674621582,48.3,59.2
7,0.03267526626586914,50.0,59.2
8,0.035780906677246094,48.6,59.2
9,0.0395660400390625,48.8,59.3
10,0.03791522979736328,45.9,59.3
11,0.03168201446533203,34.4,59.2
12,0.04619598388671875,54.3,59.2
13,0.029661178588867188,24.1,59.2
14,0.029443740844726562,27.6,59.2
15,0.027891874313354492,31.0,59.2
16,0.030163049697875977,27.3,59.2
17,0.02925419807434082,25.9,59.2
18,0.03240776062011719,28.1,59.2
19,0.02953815460205078,25.8,59.2
20,0.029034137725830078,31.0,59.2
21,0.028542280197143555,29.0,59.2
22,0.02999091148376465,30.0,59.2
23,0.035272836685180664,42.9,59.3
24,0.057987213134765625,57.9,59.2
25,0.03474617004394531,34.3,58.9
26,0.029161930084228516,26.7,58.9
27,0.028773069381713867,25.0,58.9
28,0.02817702293395996,26.9,58.9
29,0.028844833374023438,23.3,58.9
30,0.029189109802246094,29.4,58.9
31,0.029592037200927734,21.4,58.9
32,0.02835392951965332,25.9,58.9
33,0.030285120010375977,32.3,58.9
34,0.029400110244750977,22.6,58.9
35,0.028098106384277344,32.1,59.0
36,0.029857158660888672,24.1,59.0
37,0.028171062469482422,29.0,59.0
38,0.02853870391845703,21.4,59.0
39,0.028643131256103516,22.2,59.0
40,0.029093265533447266,33.3,59.0
41,0.02802729606628418,25.9,59.0
42,0.0288698673248291,21.4,59.0
43,0.02832627296447754,27.6,59.0
44,0.029313087463378906,20.7,59.0
45,0.06724119186401367,55.9,59.0
46,0.030649900436401367,30.3,59.0
47,0.029542922973632812,22.2,59.0
48,0.02970409393310547,30.3,59.0
49,0.02884197235107422,25.9,59.0
50,0.02920699119567871,20.7,59.0
51,0.02973175048828125,30.0,59.0
52,0.030012845993041992,26.7,59.0
53,0.029385089874267578,22.6,59.0
54,0.02960205078125,20.7,58.9
55,0.029386043548583984,28.6,58.9
56,0.02909708023071289,35.3,58.9
57,0.030379772186279297,18.5,58.9
58,0.030093908309936523,25.0,58.9
59,0.029857158660888672,25.8,58.9
60,0.02922201156616211,25.8,58.9
61,0.029752016067504883,23.1,58.9
62,0.03000020980834961,24.2,59.0
63,0.0306241512298584,25.0,59.0
64,0.030297040939331055,24.1,59.0
65,0.031033992767333984,17.9,59.0
66,0.032060861587524414,33.3,59.0
67,0.032145023345947266,33.3,59.0
68,0.029613018035888672,21.9,59.0
69,0.029263019561767578,29.0,59.0
70,0.029618263244628906,25.9,59.0
71,0.02935194969177246,20.7,59.0
72,0.029282093048095703,25.8,59.0
73,0.029539823532104492,30.0,59.0
74,0.028162002563476562,26.7,59.0
75,0.029708147048950195,21.4,59.0
76,0.028753042221069336,18.5,59.0
77,0.03028106689453125,27.3,59.0
78,0.029848814010620117,26.7,59.0
79,0.028790950775146484,24.1,59.0
80,0.030303001403808594,23.3,59.0
81,0.03034806251525879,25.0,59.0
82,0.0299680233001709,28.1,59.0
83,0.030560970306396484,20.0,59.0
84,0.03032708168029785,31.4,59.0
85,0.02958989143371582,25.9,59.0
86,0.029439926147460938,17.2,59.0
87,0.03003859519958496,25.0,59.0
88,0.02997112274169922,25.8,59.0
89,0.02983713150024414,27.6,59.0
90,0.030426025390625,28.1,59.0
91,0.02864813804626465,19.2,59.0
92,0.02933216094970703,25.8,59.0
93,0.029150009155273438,27.6,59.0
